AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Wohnbevoelkerung insg.;Religion - katholisch;Religion - evangelisch;Religion - sonstige
8335043;10;Altstadt;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;12311;3187;2116;7008
8335043;20;Paradies;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6023;1988;1104;2931
8335043;30;Petershausen-West;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;16175;4227;2578;9370
8335043;35;Petershausen-Ost;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;7332;2079;1428;3825
8335043;40;Koenigsbau;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6590;1917;1208;3465
8335043;50;Allmannsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;5416;1636;1175;2605
8335043;60;Staad;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1814;546;393;875
8335043;70;Fuerstenberg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;12490;3534;2068;6888
8335043;80;Wollmatingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6743;1958;1116;3669
8335043;90;Industriegebiet;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1215;233;109;873
8335043;100;Egg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;805;244;179;382
8335043;110;Litzelstetten;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;3818;1229;790;1799
8335043;120;Dingelsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;2078;797;369;912
8335043;130;Dettingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;3420;1247;638;1535
8335043;140;Wallhausen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1130;337;226;567
8335043;10;Altstadt;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12129;3373;2176;6580
8335043;20;Paradies;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6202;2068;1155;2979
8335043;30;Petershausen-West;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;16309;4439;2723;9147
8335043;35;Petershausen-Ost;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;7267;2121;1478;3668
8335043;40;Koenigsbau;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6669;1991;1266;3412
8335043;50;Allmannsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;5421;1696;1235;2490
8335043;60;Staad;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1846;561;390;895
8335043;70;Fuerstenberg;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12465;3693;2138;6634
8335043;80;Wollmatingen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6645;2020;1164;3461
8335043;90;Industriegebiet;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1102;241;119;742
8335043;100;Egg;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;833;247;205;381
8335043;110;Litzelstetten;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;3820;1255;803;1762
8335043;120;Dingelsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;2075;811;369;895
8335043;130;Dettingen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;3422;1297;672;1453
8335043;140;Wallhausen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1150;359;240;551
8335043;10;Altstadt;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;11952;3591;2240;6121
8335043;20;Paradies;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6009;2141;1198;2670
8335043;30;Petershausen-West;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;16082;4699;2814;8569
8335043;35;Petershausen-Ost;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;7245;2294;1515;3436
8335043;40;Koenigsbau;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6507;2005;1317;3185
8335043;50;Allmannsdorf;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;5328;1728;1259;2341
8335043;60;Staad;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1816;587;405;824
8335043;70;Fuerstenberg;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;12382;3863;2224;6295
8335043;80;Wollmatingen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6667;2134;1207;3326
8335043;90;Industriegebiet;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1002;261;124;617
8335043;100;Egg;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;805;263;201;341
8335043;110;Litzelstetten;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;3785;1319;832;1634
8335043;120;Dingelsdorf;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;2056;834;385;837
8335043;130;Dettingen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;3399;1348;688;1363
8335043;140;Wallhausen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1129;375;247;507
8335043;10;Altstadt;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;12080;3814;2349;5917
8335043;20;Paradies;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;5994;2241;1216;2537
8335043;30;Petershausen-West;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;15820;4869;2886;8065
8335043;35;Petershausen-Ost;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;7270;2385;1552;3333
8335043;40;Koenigsbau;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;6254;2042;1324;2888
8335043;50;Allmannsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;5308;1806;1273;2229
8335043;60;Staad;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1840;608;417;815
8335043;70;Fuerstenberg;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;12369;4024;2304;6041
8335043;80;Wollmatingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;6742;2249;1243;3250
8335043;90;Industriegebiet;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;990;282;120;588
8335043;100;Egg;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;788;264;200;324
8335043;110;Litzelstetten;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;3823;1372;859;1592
8335043;120;Dingelsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;2082;845;411;826
8335043;130;Dettingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;3342;1344;693;1305
8335043;140;Wallhausen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1135;390;250;495
8335043;10;Altstadt;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;12138;3915;2438;5785
8335043;20;Paradies;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6097;2309;1278;2510
8335043;30;Petershausen-West;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;16021;5136;2959;7926
8335043;35;Petershausen-Ost;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;7248;2393;1604;3251
8335043;40;Koenigsbau;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6181;2085;1331;2765
8335043;50;Allmannsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;5348;1842;1312;2194
8335043;60;Staad;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1779;619;410;750
8335043;70;Fuerstenberg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;12500;4163;2341;5996
8335043;80;Wollmatingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6775;2305;1294;3176
8335043;90;Industriegebiet;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1048;281;136;631
8335043;100;Egg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;812;262;215;335
8335043;110;Litzelstetten;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;3861;1423;896;1542
8335043;120;Dingelsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;2098;859;418;821
8335043;130;Dettingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;3289;1349;693;1247
8335043;140;Wallhausen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1137;400;261;476
8335043;10;Altstadt;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;12116;3998;2502;5616
8335043;20;Paradies;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6113;2354;1326;2433
8335043;30;Petershausen-West;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;16002;5212;3082;7708
8335043;35;Petershausen-Ost;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;7273;2464;1683;3126
8335043;40;Koenigsbau;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6248;2129;1358;2761
8335043;50;Allmannsdorf;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;5341;1895;1354;2092
8335043;60;Staad;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1793;640;418;735
8335043;70;Fuerstenberg;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;12346;4246;2360;5740
8335043;80;Wollmatingen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6784;2334;1318;3132
8335043;90;Industriegebiet;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1093;298;158;637
8335043;100;Egg;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;763;256;191;316
8335043;110;Litzelstetten;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;3831;1446;899;1486
8335043;120;Dingelsdorf;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;2094;885;428;781
8335043;130;Dettingen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;3270;1372;699;1199
8335043;140;Wallhausen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1123;393;267;463
8335043;10;Altstadt;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;12064;4048;2550;5466
8335043;20;Paradies;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6161;2391;1359;2411
8335043;30;Petershausen-West;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;15616;5210;3074;7332
8335043;35;Petershausen-Ost;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;7187;2515;1717;2955
8335043;40;Koenigsbau;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6194;2128;1385;2681
8335043;50;Allmannsdorf;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;5334;1923;1354;2057
8335043;60;Staad;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1813;652;440;721
8335043;70;Fuerstenberg;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;12433;4345;2493;5595
8335043;80;Wollmatingen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6795;2399;1362;3034
8335043;90;Industriegebiet;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1108;318;150;640
8335043;100;Egg;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;761;267;185;309
8335043;110;Litzelstetten;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;3814;1470;892;1452
8335043;120;Dingelsdorf;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;2131;928;435;768
8335043;130;Dettingen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;3334;1382;730;1222
8335043;140;Wallhausen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1147;384;292;471
8335043;10;Altstadt;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;11950;4095;2594;5261
8335043;20;Paradies;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6116;2368;1344;2404
8335043;30;Petershausen-West;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;15552;5245;3166;7141
8335043;35;Petershausen-Ost;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;7156;2542;1709;2905
8335043;40;Koenigsbau;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6146;2056;1379;2711
8335043;50;Allmannsdorf;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;5305;1923;1385;1997
8335043;60;Staad;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;1807;672;439;696
8335043;70;Fuerstenberg;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;12233;4344;2546;5343
8335043;80;Wollmatingen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6876;2463;1405;3008
8335043;90;Industriegebiet;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;1081;340;145;596
8335043;100;Egg;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;779;286;192;301
8335043;110;Litzelstetten;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;3841;1492;931;1418
8335043;120;Dingelsdorf;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;2137;942;436;759
8335043;130;Dettingen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;3348;1380;731;1237
8335043;140;Wallhausen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;1151;403;285;463
8335043;10;Altstadt;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;11987;4205;2633;5149
8335043;20;Paradies;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;6122;2399;1346;2377
8335043;30;Petershausen-West;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;15347;5156;3221;6970
8335043;35;Petershausen-Ost;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;7120;2592;1719;2809
8335043;40;Koenigsbau;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;5853;2021;1401;2431
8335043;50;Allmannsdorf;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;5315;1946;1399;1970
8335043;60;Staad;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1797;677;459;661
8335043;70;Fuerstenberg;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;12022;4362;2517;5143
8335043;80;Wollmatingen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;6683;2479;1425;2779
8335043;90;Industriegebiet;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1024;326;166;532
8335043;100;Egg;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;757;275;199;283
8335043;110;Litzelstetten;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;3819;1519;936;1364
8335043;120;Dingelsdorf;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;2142;948;449;745
8335043;130;Dettingen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;3141;1387;731;1023
8335043;140;Wallhausen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1161;424;311;426
8335043;10;Altstadt;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;11947;4300;2654;4993
8335043;20;Paradies;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;6032;2429;1350;2253
8335043;30;Petershausen-West;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;14891;5176;3221;6494
8335043;35;Petershausen-Ost;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;7067;2606;1780;2681
8335043;40;Koenigsbau;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;5773;2023;1420;2330
8335043;50;Allmannsdorf;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;5293;1953;1394;1946
8335043;60;Staad;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;1813;702;453;658
8335043;70;Fuerstenberg;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;11747;4347;2514;4886
8335043;80;Wollmatingen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;6613;2505;1438;2670
8335043;90;Industriegebiet;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;951;310;173;468
8335043;100;Egg;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;770;285;207;278
8335043;110;Litzelstetten;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;3870;1556;973;1341
8335043;120;Dingelsdorf;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;2122;958;444;720
8335043;130;Dettingen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;3124;1416;744;964
8335043;140;Wallhausen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;1166;443;311;412
8335043;10;Altstadt;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;11923;4376;2653;4894
8335043;20;Paradies;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;6030;2444;1325;2261
8335043;30;Petershausen-West;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;14843;5164;3302;6377
8335043;35;Petershausen-Ost;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;6938;2644;1801;2493
8335043;40;Koenigsbau;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;5662;2039;1440;2183
8335043;50;Allmannsdorf;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;5241;1955;1404;1882
8335043;60;Staad;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;1790;708;453;629
8335043;70;Fuerstenberg;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;11686;4403;2575;4708
8335043;80;Wollmatingen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;6561;2515;1455;2591
8335043;90;Industriegebiet;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;960;326;184;450
8335043;100;Egg;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;736;283;187;266
8335043;110;Litzelstetten;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;3878;1579;998;1301
8335043;120;Dingelsdorf;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;2138;986;469;683
8335043;130;Dettingen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;3048;1405;725;918
8335043;140;Wallhausen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;1123;441;296;386
8335043;10;Altstadt;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;11894;4411;2698;4785
8335043;20;Paradies;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;5813;2437;1316;2060
8335043;30;Petershausen-West;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;14202;5055;3244;5903
8335043;35;Petershausen-Ost;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;6892;2702;1819;2371
8335043;40;Koenigsbau;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;5569;2085;1425;2059
8335043;50;Allmannsdorf;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;5227;2008;1393;1826
8335043;60;Staad;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;1761;722;462;577
8335043;70;Fuerstenberg;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;11663;4531;2627;4505
8335043;80;Wollmatingen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;6357;2507;1462;2388
8335043;90;Industriegebiet;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;915;308;186;421
8335043;100;Egg;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;731;289;203;239
8335043;110;Litzelstetten;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;3810;1563;1003;1244
8335043;120;Dingelsdorf;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;2121;977;480;664
8335043;130;Dettingen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;3061;1423;740;898
8335043;140;Wallhausen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;1123;452;297;374
8335043;10;Altstadt;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;11866;4436;2732;4698
8335043;20;Paradies;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;5808;2426;1323;2059
8335043;30;Petershausen-West;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;13436;4831;3126;5479
8335043;35;Petershausen-Ost;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;6828;2695;1857;2276
8335043;40;Koenigsbau;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;5536;2058;1374;2104
8335043;50;Allmannsdorf;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;5274;2037;1431;1806
8335043;60;Staad;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;1710;699;463;548
8335043;70;Fuerstenberg;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;11680;4633;2640;4407
8335043;80;Wollmatingen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;6232;2496;1416;2320
8335043;90;Industriegebiet;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;933;323;191;419
8335043;100;Egg;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;699;280;198;221
8335043;110;Litzelstetten;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;3810;1568;1036;1206
8335043;120;Dingelsdorf;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;2103;992;473;638
8335043;130;Dettingen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;3055;1437;757;861
8335043;140;Wallhausen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;1130;465;285;380
8335043;10;Altstadt;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;11762;2750;4478;4534
8335043;20;Paradies;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;6017;1392;2531;2094
8335043;30;Petershausen-West;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;13208;3117;4829;5262
8335043;35;Petershausen-Ost;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;6743;1807;2692;2244
8335043;40;Koenigsbau;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;5222;1237;1981;2004
8335043;50;Allmannsdorf;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;5268;1450;2037;1781
8335043;60;Staad;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;1747;444;712;591
8335043;70;Fuerstenberg;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;11611;2660;4678;4273
8335043;80;Wollmatingen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;6137;1392;2465;2280
8335043;90;Industriegebiet;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;908;194;315;399
8335043;100;Egg;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;646;183;258;205
8335043;110;Litzelstetten;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;3854;1049;1607;1198
8335043;120;Dingelsdorf;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;2082;469;1002;611
8335043;130;Dettingen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;3069;767;1454;848
8335043;140;Wallhausen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;1116;288;457;371
