AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Wohnbev_insg;Deutsch;Nichtdeutsch
8335043;10;Altstadt;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;12311;10245;2066
8335043;20;Paradies;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6023;5226;797
8335043;30;Petershausen-West;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;16175;12552;3623
8335043;35;Petershausen-Ost;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;7332;6261;1071
8335043;40;Koenigsbau;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6590;5179;1411
8335043;50;Allmannsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;5416;4775;641
8335043;60;Staad;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1814;1643;171
8335043;70;Fuerstenberg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;12490;9909;2581
8335043;80;Wollmatingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;6743;5585;1158
8335043;90;Industriegebiet;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1215;599;616
8335043;100;Egg;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;805;695;110
8335043;110;Litzelstetten;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;3818;3392;426
8335043;120;Dingelsdorf;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;2078;1900;178
8335043;130;Dettingen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;3420;3019;401
8335043;140;Wallhausen;31.12.2023;Stadt Konstanz - Eigene Einwohnerfortschreibung;1130;972;158
8335043;10;Altstadt;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12129;10191;1938
8335043;20;Paradies;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6202;5247;955
8335043;30;Petershausen-West;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;16309;12605;3704
8335043;35;Petershausen-Ost;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;7267;6267;1000
8335043;40;Koenigsbau;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6669;5225;1444
8335043;50;Allmannsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;5421;4780;641
8335043;60;Staad;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1846;1634;212
8335043;70;Fuerstenberg;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;12465;9958;2507
8335043;80;Wollmatingen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;6645;5515;1130
8335043;90;Industriegebiet;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1102;620;482
8335043;100;Egg;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;833;732;101
8335043;110;Litzelstetten;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;3820;3358;462
8335043;120;Dingelsdorf;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;2075;1892;183
8335043;130;Dettingen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;3422;3033;389
8335043;140;Wallhausen;31.12.2022;Stadt Konstanz - Eigene Einwohnerfortschreibung;1150;991;159
8335043;10;Altstadt;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;11952;10209;1743
8335043;20;Paradies;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6009;5253;756
8335043;30;Petershausen-West;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;16082;12594;3488
8335043;35;Petershausen-Ost;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;7245;6350;895
8335043;40;Koenigsbau;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6507;5192;1315
8335043;50;Allmannsdorf;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;5328;4771;557
8335043;60;Staad;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1816;1635;181
8335043;70;Fuerstenberg;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;12382;9986;2396
8335043;80;Wollmatingen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;6667;5563;1104
8335043;90;Industriegebiet;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1002;620;382
8335043;100;Egg;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;805;714;91
8335043;110;Litzelstetten;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;3785;3403;382
8335043;120;Dingelsdorf;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;2056;1883;173
8335043;130;Dettingen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;3399;3035;364
8335043;140;Wallhausen;31.12.2021;Stadt Konstanz - Eigene Einwohnerfortschreibung;1129;965;164
8335043;10;Altstadt;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;12080;10334;1746
8335043;20;Paradies;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;5994;5291;703
8335043;30;Petershausen-West;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;15820;12473;3347
8335043;35;Petershausen-Ost;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;7270;6349;921
8335043;40;Koenigsbau;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;6254;5096;1158
8335043;50;Allmannsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;5308;4773;535
8335043;60;Staad;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1840;1666;174
8335043;70;Fuerstenberg;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;12369;10014;2355
8335043;80;Wollmatingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;6742;5659;1083
8335043;90;Industriegebiet;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;990;626;364
8335043;100;Egg;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;788;708;80
8335043;110;Litzelstetten;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;3823;3425;398
8335043;120;Dingelsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;2082;1897;185
8335043;130;Dettingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;3342;2988;354
8335043;140;Wallhausen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1135;971;164
8335043;10;Altstadt;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;12138;10312;1826
8335043;20;Paradies;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6097;5336;761
8335043;30;Petershausen-West;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;16021;12686;3335
8335043;35;Petershausen-Ost;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;7248;6374;874
8335043;40;Koenigsbau;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6181;5017;1164
8335043;50;Allmannsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;5348;4795;553
8335043;60;Staad;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1779;1628;151
8335043;70;Fuerstenberg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;12500;10081;2419
8335043;80;Wollmatingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6775;5721;1054
8335043;90;Industriegebiet;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1048;635;413
8335043;100;Egg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;812;725;87
8335043;110;Litzelstetten;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;3861;3469;392
8335043;120;Dingelsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;2098;1897;201
8335043;130;Dettingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;3289;2961;328
8335043;140;Wallhausen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1137;975;162
8335043;10;Altstadt;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;12116;10329;1787
8335043;20;Paradies;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6113;5341;772
8335043;30;Petershausen-West;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;16002;12762;3240
8335043;35;Petershausen-Ost;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;7273;6388;885
8335043;40;Koenigsbau;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6248;5067;1181
8335043;50;Allmannsdorf;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;5341;4788;553
8335043;60;Staad;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1793;1637;156
8335043;70;Fuerstenberg;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;12346;10006;2340
8335043;80;Wollmatingen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6784;5774;1010
8335043;90;Industriegebiet;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1093;673;420
8335043;100;Egg;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;763;671;92
8335043;110;Litzelstetten;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;3831;3440;391
8335043;120;Dingelsdorf;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;2094;1896;198
8335043;130;Dettingen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;3270;2959;311
8335043;140;Wallhausen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1123;987;136
8335043;10;Altstadt;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;12064;10339;1725
8335043;20;Paradies;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6161;5348;813
8335043;30;Petershausen-West;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;15616;12507;3109
8335043;35;Petershausen-Ost;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;7187;6398;789
8335043;40;Koenigsbau;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6194;5062;1132
8335043;50;Allmannsdorf;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;5334;4792;542
8335043;60;Staad;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1813;1644;169
8335043;70;Fuerstenberg;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;12433;10144;2289
8335043;80;Wollmatingen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6795;5842;953
8335043;90;Industriegebiet;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1108;681;427
8335043;100;Egg;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;761;680;81
8335043;110;Litzelstetten;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;3814;3425;389
8335043;120;Dingelsdorf;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;2131;1918;213
8335043;130;Dettingen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;3334;3001;333
8335043;140;Wallhausen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1147;1014;133
8335043;10;Altstadt;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;11950;10305;1645
8335043;20;Paradies;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6116;5246;870
8335043;30;Petershausen-West;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;15552;12503;3049
8335043;35;Petershausen-Ost;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;7156;6370;786
8335043;40;Koenigsbau;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6146;4973;1173
8335043;50;Allmannsdorf;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;5305;4803;502
8335043;60;Staad;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;1807;1657;150
8335043;70;Fuerstenberg;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;12233;10129;2104
8335043;80;Wollmatingen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6876;5885;991
8335043;90;Industriegebiet;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;1081;694;387
8335043;100;Egg;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;779;728;51
8335043;110;Litzelstetten;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;3841;3468;373
8335043;120;Dingelsdorf;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;2137;1954;183
8335043;130;Dettingen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;3348;2972;376
8335043;140;Wallhausen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;1151;1014;137
8335043;10;Altstadt;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;11987;10352;1635
8335043;20;Paradies;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;6122;5230;892
8335043;30;Petershausen-West;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;15347;12342;3005
8335043;35;Petershausen-Ost;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;7120;6355;765
8335043;40;Koenigsbau;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;5853;4843;1010
8335043;50;Allmannsdorf;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;5315;4795;520
8335043;60;Staad;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1797;1652;145
8335043;70;Fuerstenberg;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;12022;10068;1954
8335043;80;Wollmatingen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;6683;5826;857
8335043;90;Industriegebiet;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1024;716;308
8335043;100;Egg;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;757;709;48
8335043;110;Litzelstetten;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;3819;3475;344
8335043;120;Dingelsdorf;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;2142;1970;172
8335043;130;Dettingen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;3141;2917;224
8335043;140;Wallhausen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1161;1036;125
8335043;10;Altstadt;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;11947;10342;1605
8335043;20;Paradies;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;6032;5206;826
8335043;30;Petershausen-West;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;14891;12228;2663
8335043;35;Petershausen-Ost;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;7067;6392;675
8335043;40;Koenigsbau;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;5773;4805;968
8335043;50;Allmannsdorf;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;5293;4812;481
8335043;60;Staad;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;1813;1663;150
8335043;70;Fuerstenberg;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;11747;9968;1779
8335043;80;Wollmatingen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;6613;5771;842
8335043;90;Industriegebiet;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;951;697;254
8335043;100;Egg;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;770;732;38
8335043;110;Litzelstetten;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;3870;3529;341
8335043;120;Dingelsdorf;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;2122;1976;146
8335043;130;Dettingen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;3124;2941;183
8335043;140;Wallhausen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;1166;1030;136
8335043;10;Altstadt;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;11923;10347;1576
8335043;20;Paradies;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;6030;5198;832
8335043;30;Petershausen-West;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;14843;12197;2646
8335043;35;Petershausen-Ost;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;6938;6394;544
8335043;40;Koenigsbau;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;5662;4747;915
8335043;50;Allmannsdorf;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;5241;4803;438
8335043;60;Staad;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;1790;1658;132
8335043;70;Fuerstenberg;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;11686;9973;1713
8335043;80;Wollmatingen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;6561;5736;825
8335043;90;Industriegebiet;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;960;720;240
8335043;100;Egg;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;736;706;30
8335043;110;Litzelstetten;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;3878;3538;340
8335043;120;Dingelsdorf;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;2138;2005;133
8335043;130;Dettingen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;3048;2878;170
8335043;140;Wallhausen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;1123;1003;120
8335043;10;Altstadt;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;11894;10351;1543
8335043;20;Paradies;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;5813;5069;744
8335043;30;Petershausen-West;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;14202;11745;2457
8335043;35;Petershausen-Ost;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;6892;6370;522
8335043;40;Koenigsbau;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;5569;4667;902
8335043;50;Allmannsdorf;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;5227;4790;437
8335043;60;Staad;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;1761;1658;103
8335043;70;Fuerstenberg;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;11663;10015;1648
8335043;80;Wollmatingen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;6357;5585;772
8335043;90;Industriegebiet;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;915;697;218
8335043;100;Egg;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;731;707;24
8335043;110;Litzelstetten;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;3810;3524;286
8335043;120;Dingelsdorf;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;2121;1997;124
8335043;130;Dettingen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;3061;2896;165
8335043;140;Wallhausen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;1123;1028;95
8335043;10;Altstadt;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;11866;10306;1560
8335043;20;Paradies;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;5808;5073;735
8335043;30;Petershausen-West;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;13436;11041;2395
8335043;35;Petershausen-Ost;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;6828;6313;515
8335043;40;Koenigsbau;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;5536;4578;958
8335043;50;Allmannsdorf;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;5274;4863;411
8335043;60;Staad;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;1710;1606;104
8335043;70;Fuerstenberg;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;11680;10090;1590
8335043;80;Wollmatingen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;6232;5498;734
8335043;90;Industriegebiet;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;933;706;227
8335043;100;Egg;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;699;676;23
8335043;110;Litzelstetten;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;3810;3553;257
8335043;120;Dingelsdorf;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;2103;2010;93
8335043;130;Dettingen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;3055;2890;165
8335043;140;Wallhausen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;1130;1026;104
8335043;10;Altstadt;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;11762;10291;1471
8335043;20;Paradies;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;6017;5248;769
8335043;30;Petershausen-West;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;13208;10846;2362
8335043;35;Petershausen-Ost;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;6743;6227;516
8335043;40;Koenigsbau;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;5222;4317;905
8335043;50;Allmannsdorf;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;5268;4871;397
8335043;60;Staad;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;1747;1630;117
8335043;70;Fuerstenberg;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;11611;10035;1576
8335043;80;Wollmatingen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;6137;5415;722
8335043;90;Industriegebiet;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;908;690;218
8335043;100;Egg;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;646;625;21
8335043;110;Litzelstetten;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;3854;3610;244
8335043;120;Dingelsdorf;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;2082;1987;95
8335043;130;Dettingen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;3069;2919;150
8335043;140;Wallhausen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;1116;1010;106
